"","var_name","var_desc","var_type","class"
"201","cv009_17","Years of education - 17th  household member ",0,"numeric"
"202","cv009_18","Years of education - 18th  household member ",0,"numeric"
"203","cv009_19","Years of education - 19th  household member ",0,"numeric"
"204","cv009_20","Years of education - 20th  household member ",0,"numeric"
"205","cv009_21","Years of education - 21st  household member ",0,"numeric"
"206","cv009_22","Years of education - 22nd  household member ",0,"numeric"
"207","cv009_23","Years of education - 23rd  household member ",0,"numeric"
"208","cv009_24","Years of education - 24th  household member ",0,"numeric"
"209","cv009_25","Years of education - 25th  household member ",0,"numeric"
"210","cv009_26","Years of education - 26th  household member ",0,"numeric"
"211","cv009_27","Years of education - 27th  household member ",0,"numeric"
"212","cv009_28","Years of education - 28th  household member ",0,"numeric"
"213","cv009_29","Years of education - 29th  household member ",0,"numeric"
"214","cv009_30","Years of education - 30th  household member ",0,"numeric"
"215","cv009_31","Years of education - 31st  household member ",0,"numeric"
"216","cv009_32","Years of education - 32nd  household member ",0,"numeric"
"217","cv009_33","Years of education - 33rd  household member ",0,"numeric"
"218","cv009_34","Years of education - 34th  household member ",0,"numeric"
"219","cv009_35","Years of education - 35th  household member ",0,"numeric"
"220","cv010_1","Highest level of education - 1st  household member",0,"numeric"
"221","cv010_2","Highest level of education - 2nd  household member",0,"numeric"
"222","cv010_3","Highest level of education - 3rd  household member",0,"numeric"
"223","cv010_4","Highest level of education - 4th  household member",0,"numeric"
"224","cv010_5","Highest level of education - 5th  household member",0,"numeric"
"225","cv010_6","Highest level of education - 6th  household member",0,"numeric"
"226","cv010_7","Highest level of education - 7th  household member",0,"numeric"
"227","cv010_8","Highest level of education - 8th  household member",0,"numeric"
"228","cv010_9","Highest level of education - 9th  household member",0,"numeric"
"229","cv010_10","Highest level of education - 10th  household member ",0,"numeric"
"230","cv010_11","Highest level of education - 11th  household member ",0,"numeric"
"231","cv010_12","Highest level of education - 12th  household member ",0,"numeric"
"232","cv010_13","Highest level of education - 13th  household member ",0,"numeric"
"233","cv010_14","Highest level of education - 14th  household member ",0,"numeric"
"234","cv010_15","Highest level of education - 15th  household member ",0,"numeric"
"235","cv010_16","Highest level of education - 16th  household member ",0,"numeric"
"236","cv010_17","Highest level of education - 17th  household member ",0,"numeric"
"237","cv010_18","Highest level of education - 18th  household member ",0,"numeric"
"238","cv010_19","Highest level of education - 19th  household member ",0,"numeric"
"239","cv010_20","Highest level of education - 20th  household member ",0,"numeric"
"240","cv010_21","Highest level of education - 21st  household member ",0,"numeric"
"241","cv010_22","Highest level of education - 22nd  household member ",0,"numeric"
"242","cv010_23","Highest level of education - 23rd  household member ",0,"numeric"
"243","cv010_24","Highest level of education - 24th  household member ",0,"numeric"
"244","cv010_25","Highest level of education - 25th  household member ",0,"numeric"
"245","cv010_26","Highest level of education - 26th  household member ",0,"numeric"
"246","cv010_27","Highest level of education - 27th  household member ",0,"numeric"
"247","cv010_28","Highest level of education - 28th  household member ",0,"numeric"
